"id","email_id","personalisation","clarity","value_proposition","cta","overall","notes","score_error","scored_at","created_at","updated_at","created_by","updated_by"
1,8,2,7,6,5,5,"Generic email with no recipient-specific details or company research. Clear structure and decent value proposition for campus marketing, but weak CTA with multiple options rather than one clear next step.",False,"2026-03-09 11:40:20.247918","2026-03-09 11:40:20.27281","2026-03-09 11:40:20.272829","craig","craig"
2,170,1,3,1,1,1,"This is just a brief internal forward with minimal context, lacking any clear value proposition or call to action for the recipient.",False,"2026-03-09 11:40:20.248773","2026-03-09 11:40:20.27286","2026-03-09 11:40:20.272863","craig","craig"
3,3,1,1,1,1,1,"This is an internal sick leave notification email, not a sales email. It contains no sales content, value proposition, or customer-facing call to action.",False,"2026-03-09 11:40:20.248913","2026-03-09 11:40:20.272878","2026-03-09 11:40:20.27288","craig","craig"
4,4,1,4,5,3,3,"Email sent to sender's own email address with zero personalisation and generic greeting. Value proposition around student marketing is somewhat clear but CTA is vague.",False,"2026-03-09 11:40:20.249005","2026-03-09 11:40:20.272897","2026-03-09 11:40:20.2729","craig","craig"
5,5,3,7,6,7,5,"The email lacks personalization beyond mentioning 'Imagine Experiences' and doesn't reference specific recipient details. The value proposition is reasonably clear about university partnerships, and the CTA is direct though the visual button may not render properly.",False,"2026-03-09 11:40:20.249089","2026-03-09 11:40:20.272911","2026-03-09 11:40:20.272914","craig","craig"
6,11,2,4,2,5,3,"This is an automated LinkedIn lead suggestion email, not a sales email. It lacks personal touch and clear value proposition, though the CTA to view leads is straightforward.",False,"2026-03-09 11:40:20.249171","2026-03-09 11:40:20.272924","2026-03-09 11:40:20.272927","craig","craig"
7,158,1,2,1,2,1,"This is an internal finance response about payment processing and invoice generation issues, not a sales email, so traditional sales metrics don't apply meaningfully here.",False,"2026-03-09 11:40:20.249251","2026-03-09 11:40:20.272937","2026-03-09 11:40:20.272939","craig","craig"
8,162,8,6,7,7,7,"Strong personalisation with specific answers to Nicole's questions and relevant event recommendations for 99 Club Comedy. However, clarity suffers from dense pricing information and formatting issues that make it harder to scan.",False,"2026-03-09 11:40:20.24933","2026-03-09 11:40:20.27295","2026-03-09 11:40:20.272952","craig","craig"
9,52,2,8,1,3,3,"The email is clear and concise but lacks any value proposition or personalization beyond referencing the previous conversation. The CTA is weak - just asking for a list without offering anything in return.",False,"2026-03-09 11:40:20.24941","2026-03-09 11:40:20.272962","2026-03-09 11:40:20.272965","craig","craig"
10,165,5,4,3,2,4,"Email references previous colleague contact and specific university but lacks clear value proposition for bowling alley business. No specific call to action, just vague future contact mention.",False,"2026-03-09 11:40:20.249488","2026-03-09 11:40:20.272975","2026-03-09 11:40:20.272977","craig","craig"
11,61,8,7,3,6,6,"Well-personalized follow-up referencing ongoing Instagram promotion discussions, but lacks clear value proposition as it's primarily requesting information rather than offering value. CTA could be more specific about next steps.",False,"2026-03-09 11:40:20.249567","2026-03-09 11:40:20.272987","2026-03-09 11:40:20.27299","craig","craig"
12,445,6,8,2,4,5,"This is a follow-up response to an ongoing business relationship with good personalization and clear communication, but lacks clear value proposition as it's simply delivering requested assets with minimal next steps defined.",False,"2026-03-09 11:40:20.249646","2026-03-09 11:40:20.273","2026-03-09 11:40:20.273002","craig","craig"
13,87,1,2,1,1,1,"This is an automated calendar acceptance notification, not a sales email - it contains no value proposition, personalization, or sales-related call to action.",False,"2026-03-09 11:40:20.249726","2026-03-09 11:40:20.273012","2026-03-09 11:40:20.273014","craig","craig"
14,120,1,2,1,1,1,"This is a calendar decline notification, not a sales email - it lacks any sales value proposition, personalization, or meaningful call to action for sales purposes.",False,"2026-03-09 11:40:20.249805","2026-03-09 11:40:20.273025","2026-03-09 11:40:20.273027","craig","craig"
15,126,1,3,1,1,1,"This is an automatically generated calendar decline notification, not a sales email. It has no sales value proposition, personalization, or meaningful call to action.",False,"2026-03-09 11:40:20.24988","2026-03-09 11:40:20.273037","2026-03-09 11:40:20.27304","craig","craig"
16,127,6,8,4,9,6,"This is a LinkedIn connection reminder with clear CTAs and personalized names, but offers minimal value proposition beyond the sender's job title mentioning Gen Z/student marketing alignment.",False,"2026-03-09 11:40:20.249956","2026-03-09 11:40:20.27305","2026-03-09 11:40:20.273052","craig","craig"
