"id","chain_id","progression","responsiveness","persistence","conversation_quality","avg_response_hours","notes","score_error","scored_at","created_at","updated_at","created_by","updated_by"
1,20,7,8,6,6,NULL,"Good progression with call scheduling and delivery coordination, but conversation feels rushed and lacks professional polish with typos and unclear communication around key details.",False,"2026-03-09 11:40:23.048173","2026-03-09 11:40:23.048914","2026-03-09 11:40:23.048923","craig","craig"
2,25,3,8,6,4,NULL,"Good responsiveness from both parties with quick replies, but minimal progression toward sales goals - conversation focuses only on rescheduling without advancing the actual business discussion or next steps.",False,"2026-03-09 11:40:26.026799","2026-03-09 11:40:26.028429","2026-03-09 11:40:26.028471","craig","craig"
3,26,2,1,3,2,NULL,"Only one follow-up email with no human response received, just an auto-reply redirecting to another contact. No meaningful progression toward sales goal achieved.",False,"2026-03-09 11:40:28.883683","2026-03-09 11:40:28.88464","2026-03-09 11:40:28.884652","craig","craig"
4,27,1,1,3,1,"0.005562031249999999","This is a mass email blast with identical template messages sent to 50+ recipients with no follow-ups or responses, showing no conversation progression or personalization.",False,"2026-03-09 11:40:32.985941","2026-03-09 11:40:32.986997","2026-03-09 11:40:32.987011","craig","craig"
5,11,6,8,7,7,NULL,"Good back-and-forth collaboration on event logistics with clear information exchange, but conversation also shows signs of juggling multiple projects (gamified setup) which may dilute focus.",False,"2026-03-09 11:40:39.146442","2026-03-09 11:40:39.147399","2026-03-09 11:40:39.147414","craig","craig"
6,39,9,9,8,9,"1.1041666666666667","Excellent progression from initial call to secured booking with clear next steps. Both parties are highly responsive and the seller effectively leverages the free trial offer to build toward the larger Freshers event sale.",False,"2026-03-09 11:40:41.924067","2026-03-09 11:40:41.924845","2026-03-09 11:40:41.924857","craig","craig"
7,17,7,8,7,7,NULL,"Good progression with Lauren actively asking follow-up questions about campaign details and expressing urgency to book. Katy maintains professional responsiveness despite team delays.",False,"2026-03-09 11:40:45.073999","2026-03-09 11:40:45.075414","2026-03-09 11:40:45.075435","craig","craig"
8,66,3,2,4,3,"0.0023391666666666665","Both follow-ups are identical templates with no personalization or response to previous outreach, showing minimal progression toward a sales goal and poor responsiveness to the lack of engagement.",False,"2026-03-09 11:40:47.687445","2026-03-09 11:40:47.688432","2026-03-09 11:40:47.688446","craig","craig"
9,33,1,1,1,1,"0.15097222222222223","All three emails are completely empty with no body content, making it impossible to evaluate any sales progression or engagement quality.",False,"2026-03-09 11:40:50.087861","2026-03-09 11:40:50.088831","2026-03-09 11:40:50.088844","craig","craig"
10,57,2,1,2,2,"0.13222069444444445","This is a mass blast campaign, not a conversation - identical emails sent to multiple recipients claiming exclusivity and urgency. Poor sales practice with no actual dialogue or relationship building.",False,"2026-03-09 11:40:52.852475","2026-03-09 11:40:52.853427","2026-03-09 11:40:52.85344","craig","craig"
